replicate,virus,dilution,uL_virus,RLU_per_well,date,cells,for_testing
rep1,Delta_WT,0.025,25,2884431,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_WT,0.0125,12.5,1435815,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_WT,0.00625,6.25,683772,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_WT,0.003125,3.125,440012,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_WT,0.0015625,1.5625,174388,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_WT,0.00078125,0.78125,91433,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_WT,0.000390625,0.390625,36386,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_WT,0.025,25,3456292,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_WT,0.0125,12.5,1581308,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_WT,0.00625,6.25,645565,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_WT,0.003125,3.125,373256,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_WT,0.0015625,1.5625,205065,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_WT,0.00078125,0.78125,99582,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_WT,0.000390625,0.390625,53531,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_S371Y,0.025,25,4731503,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_S371Y,0.0125,12.5,2245126,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_S371Y,0.00625,6.25,1218203,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_S371Y,0.003125,3.125,835557,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_S371Y,0.0015625,1.5625,323165,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_S371Y,0.00078125,0.78125,147251,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_S371Y,0.000390625,0.390625,68067,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_S371Y,0.025,25,4542693,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_S371Y,0.0125,12.5,2280995,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_S371Y,0.00625,6.25,1109336,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_S371Y,0.003125,3.125,794081,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_S371Y,0.0015625,1.5625,280280,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_S371Y,0.00078125,0.78125,151172,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_S371Y,0.000390625,0.390625,65931,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_R408S,0.025,25,4173809,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_R408S,0.0125,12.5,1830872,211222,HEK-ACE2-TMPRSS2,serum_validation
